Period,Country,Sector,Subsector,Flow,Value,Marker
year/2018,cyprus,cultural-sector,radio,exports,0.0,suppressed
year/2018,cyprus,cultural-sector,photography,exports,0.0,
year/2018,cyprus,cultural-sector,cultural-crafts,exports,0.0,
year/2018,cyprus,cultural-sector,museums-and-galleries,exports,0.0,
year/2018,cyprus,cultural-sector,library-and-archives,exports,0.0,suppressed
year/2018,cyprus,cultural-sector,cultural-education,exports,0.0,
year/2018,cyprus,cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,exports,0.0,
year/2018,cyprus,audio-visual,audio-visual,exports,8.4005463866861,
year/2018,czech-republic,dcms-sectors-exc-tourism-and-civil-society,creative-industries,exports,114.927850538402,
year/2018,czech-republic,dcms-sectors-exc-tourism-and-civil-society,cultural-sector,exports,40.0650858545769,
year/2018,czech-republic,dcms-sectors-exc-tourism-and-civil-society,digital-sector,exports,138.174809892823,
year/2018,czech-republic,dcms-sectors-exc-tourism-and-civil-society,gambling,exports,0.0,suppressed
year/2018,czech-republic,dcms-sectors-exc-tourism-and-civil-society,sport,exports,0.813938930632,
year/2018,czech-republic,dcms-sectors-exc-tourism-and-civil-society,telecoms,exports,26.611222345347,
year/2018,czech-republic,dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,exports,177.108026203937,
year/2018,czech-republic,creative-industries,advertising-and-marketing,exports,33.323628706159,
year/2018,czech-republic,creative-industries,architecture,exports,1.628,
year/2018,czech-republic,creative-industries,crafts,exports,0.0,suppressed
year/2018,czech-republic,creative-industries,design-and-designer-fashion,exports,0.3020023715121,
year/2018,czech-republic,creative-industries,film-tv-radio-and-photography,exports,36.0098125311099,
year/2018,czech-republic,creative-industries,it-software-and-computer-services,exports,35.2737110438589,
year/2018,czech-republic,creative-industries,publishing,exports,4.3354225622953,
year/2018,czech-republic,creative-industries,museums-galleries-and-libraries,exports,0.0,suppressed
year/2018,czech-republic,creative-industries,music-performing-and-visual-arts,exports,3.821357025872,
year/2018,czech-republic,digital-sector,manufacturing-of-electronics-and-computers,exports,0.1933982802065,
year/2018,czech-republic,digital-sector,wholesale-of-computers-and-electronics,exports,0.0,suppressed
year/2018,czech-republic,digital-sector,publishing-excluding-translation-and-interpretation-activities,exports,4.2954225622953,
year/2018,czech-republic,digital-sector,software-publishing,exports,0.0,suppressed
year/2018,czech-republic,digital-sector,film-tv-video-radio-and-music,exports,37.2394397336444,
year/2018,czech-republic,digital-sector,telecommunications,exports,26.611222345347,
year/2018,czech-republic,digital-sector,computer-programming-consultancy-and-related-activities,exports,47.3622865405264,
year/2018,czech-republic,digital-sector,information-service-activities,exports,8.9482055504563,
year/2018,czech-republic,digital-sector,repair-of-computers-and-communication-equipment,exports,1.440030391866,
year/2018,czech-republic,cultural-sector,arts,exports,2.5777298233375,
year/2018,czech-republic,cultural-sector,film-tv-and-music,exports,37.2394397336444,
year/2018,czech-republic,cultural-sector,radio,exports,0.0,
year/2018,czech-republic,cultural-sector,photography,exports,0.0,suppressed
year/2018,czech-republic,cultural-sector,cultural-crafts,exports,0.0,suppressed
